Timestamp,Outdoor Temperature (°C),Outdoor Humidity (%),Bathroom2 Temperature (°C),Bathroom2 Humidity (%),Bathroom2 Absolute Humidity (g/m³),Geyser_Power (W),Lights_Power (W),Exhaust_Fan_Power (W),Small_Appliances_Power (W),Washing_Machine_Power (W),Occupancy,Bathroom_Total_Power (W),Bathroom_Energy (kWh)
2024-01-01 00:00:00,14.1,69.4,14.8,64.9,8.24,0,0,0,0,0,FALSE,0,0
2024-01-01 01:00:00,12.1,68.4,13.7,76.7,9.07,0,0,0,0,0,FALSE,0,0
2024-01-01 02:00:00,16,71.7,17.2,79.4,11.6,0,0,0,0,0,FALSE,0,0
2024-01-01 03:00:00,11.3,64.3,12.7,60.6,6.75,0,0,0,0,0,FALSE,0,0
2024-01-01 04:00:00,10.7,71.2,11.5,79,8.14,0,57.7,73.9,0,0,FALSE,131.6,0.132
2024-01-01 05:00:00,14,70.1,15.6,65.8,8.76,1756.2,0,78.5,0,0,FALSE,1834.7,1.835
2024-01-01 06:00:00,14.2,64.1,15.6,70.3,9.37,1286.3,41.6,63.4,210.6,0,TRUE,1601.9,1.602
2024-01-01 07:00:00,13.3,67.8,14.5,75.4,9.38,0,0,34.7,0,0,TRUE,34.7,0.035
2024-01-01 08:00:00,12.6,66.5,14,62.8,7.56,0,0,37.8,154.3,0,TRUE,192.1,0.192
2024-01-01 09:00:00,14.6,66.2,16,62,8.46,1071.7,0,61.9,0,0,TRUE,1133.6,1.134
2024-01-01 10:00:00,14.7,66.7,16,73.8,10.08,0,0,0,0,0,FALSE,0,0
2024-01-01 11:00:00,11.8,68.2,13,75,8.51,0,0,0,0,0,FALSE,0,0
2024-01-01 12:00:00,15.2,64.4,17.1,71.9,10.47,0,0,0,0,0,FALSE,0,0
2024-01-01 13:00:00,15.3,63.3,15.9,59,7.97,0,0,0,0,0,FALSE,0,0
2024-01-01 14:00:00,12,68.5,13.8,75.1,8.95,0,0,0,0,0,FALSE,0,0
2024-01-01 15:00:00,13.8,74.9,15.5,72.3,9.53,0,0,0,0,0,FALSE,0,0
2024-01-01 16:00:00,14.3,71.5,15.8,78.7,10.58,0,0,0,0,0,FALSE,0,0
2024-01-01 17:00:00,14.2,67.9,15.7,74.2,9.91,0,0,0,0,0,FALSE,0,0
2024-01-01 18:00:00,11.9,61.6,12.4,68.3,7.47,0,26.1,78.1,0,0,FALSE,104.2,0.104
2024-01-01 19:00:00,15,73.1,16.5,78.3,10.98,0,46.3,44.2,0,0,TRUE,90.5,0.09
2024-01-01 20:00:00,15.7,63.2,16.5,70.5,9.9,1441.7,0,43.1,0,0,TRUE,1484.8,1.485
2024-01-01 21:00:00,13.4,67.3,14.1,62.6,7.57,0,40.4,57.9,0,0,TRUE,98.3,0.098
2024-01-01 22:00:00,10.7,70,11.6,65.7,6.81,0,44.8,71,0,0,TRUE,115.8,0.116
2024-01-01 23:00:00,14.4,66.6,16.2,73.6,10.17,0,0,0,0,0,FALSE,0,0
2024-01-02 00:00:00,13.6,66.9,14.9,64.4,8.19,0,0,0,0,0,FALSE,0,0
2024-01-02 01:00:00,15.5,71.1,16.9,80.4,11.54,0,0,0,0,0,FALSE,0,0
2024-01-02 02:00:00,12.5,67.9,13.9,63.9,7.68,0,0,0,0,0,FALSE,0,0
2024-01-02 03:00:00,16.1,65.8,18,63.6,9.75,0,0,0,0,0,FALSE,0,0
