Timestamp,Bathroom Temperature (°C),Bathroom Humidity (%),Bathroom Absolute Humidity (g/m³),Geyser_Power (W),Lights_Power (W),Exhaust_Fan_Power (W),Small_Appliances_Power (W),Outdoor Humidity (%),Occupancy,Bathroom_Total_Power (W),Bathroom_Energy (kWh),Outdoor Temperature (°C)
2024-01-01 00:00:00,15.5,72.7,9.6,0,0,0,0,69.4,FALSE,0,0,14.1
2024-01-01 01:00:00,15,75.5,9.68,0,0,0,0,68.4,FALSE,0,0,12.1
2024-01-01 02:00:00,14.9,72.2,9.18,0,0,0,0,71.7,FALSE,0,0,16
2024-01-01 03:00:00,15.8,72.1,9.72,0,0,0,0,64.3,FALSE,0,0,11.3
2024-01-01 04:00:00,15.4,72.7,9.57,0,0,0,0,71.2,FALSE,0,0,10.7
2024-01-01 05:00:00,15.3,72.5,9.46,1576.9,0,40.1,0,70.1,FALSE,1617,1.617,14
2024-01-01 06:00:00,15.9,72.2,9.76,1771.7,49,64,0,64.1,TRUE,1884.7,1.885,14.2
2024-01-01 07:00:00,14.6,74.7,9.37,1201.1,59.7,72.8,0,67.8,TRUE,1333.6,1.334,13.3
2024-01-01 08:00:00,15,73.1,9.36,0,0,56.3,235.9,66.5,TRUE,292.2,0.292,12.6
2024-01-01 09:00:00,15.7,74,9.89,1015.4,37.6,69.7,0,66.2,TRUE,1122.7,1.123,14.6
2024-01-01 10:00:00,15.9,75.3,10.23,0,0,0,0,66.7,FALSE,0,0,14.7
2024-01-01 11:00:00,15.7,74.3,9.92,0,0,0,0,68.2,FALSE,0,0,11.8
2024-01-01 12:00:00,15.2,75.9,9.84,0,0,0,0,64.4,FALSE,0,0,15.2
2024-01-01 13:00:00,15.4,72.3,9.49,0,0,0,0,63.3,FALSE,0,0,15.3
2024-01-01 14:00:00,14.6,72.2,9.01,0,0,0,0,68.5,FALSE,0,0,12
2024-01-01 15:00:00,16,74.4,10.14,0,0,0,0,74.9,FALSE,0,0,13.8
2024-01-01 16:00:00,15.1,75.3,9.68,0,0,0,0,71.5,FALSE,0,0,14.3
2024-01-01 17:00:00,15.8,74.8,10.06,0,0,0,0,67.9,FALSE,0,0,14.2
2024-01-01 18:00:00,15.4,74.9,9.84,0,0,0,0,61.6,FALSE,0,0,11.9
2024-01-01 19:00:00,15.1,73.9,9.54,0,22.3,66.4,128.3,73.1,TRUE,217,0.217,15
2024-01-01 20:00:00,14.7,74.6,9.41,1353,37,62.4,187.1,63.2,TRUE,1639.5,1.64,15.7
2024-01-01 21:00:00,15.4,72.1,9.48,0,49.5,51.5,0,67.3,TRUE,101,0.101,13.4
2024-01-01 22:00:00,15.7,74,9.88,958.9,26.5,36,150.4,70,TRUE,1171.8,1.172,10.7
2024-01-01 23:00:00,15.4,74.9,9.81,0,0,0,0,66.6,FALSE,0,0,14.4
2024-01-02 00:00:00,15.2,75.3,9.8,0,0,0,0,66.9,FALSE,0,0,13.6
2024-01-02 01:00:00,15.5,72.8,9.6,0,0,0,0,71.1,FALSE,0,0,15.5
2024-01-02 02:00:00,15.3,75.6,9.85,0,0,0,0,67.9,FALSE,0,0,12.5
2024-01-02 03:00:00,15.7,73.3,9.83,0,0,0,0,65.8,FALSE,0,0,16.1
2024-01-02 04:00:00,15.8,72.2,9.7,0,0,0,0,63.8,FALSE,0,0,15.6
2024-01-02 05:00:00,15.8,75.7,10.18,931.4,0,51.2,0,69.7,FALSE,982.6,0.983,14.8
2024-01-02 06:00:00,15.4,74.8,9.85,0,30.2,50.6,0,63.9,TRUE,80.8,0.081,11.9
2024-01-02 07:00:00,14.9,75.5,9.64,0,29,51.3,0,69.8,TRUE,80.3,0.08,11.4
2024-01-02 08:00:00,16,74.6,10.14,0,0,0,0,72,TRUE,0,0,14.6
2024-01-02 09:00:00,14.7,72.6,9.14,0,0,0,0,73,TRUE,0,0,12.2
2024-01-02 10:00:00,15.8,73.3,9.84,0,0,0,0,67.3,FALSE,0,0,12.3
2024-01-02 11:00:00,15.9,74.9,10.11,0,0,0,0,72.1,FALSE,0,0,17
2024-01-02 12:00:00,14.7,74,9.32,0,0,0,0,76.5,FALSE,0,0,14.6
2024-01-02 13:00:00,14.6,73.6,9.24,0,0,0,0,68,FALSE,0,0,16.7
2024-01-02 14:00:00,15.4,74.6,9.8,0,0,0,0,66.5,FALSE,0,0,17.3
2024-01-02 15:00:00,15.2,72.1,9.35,0,0,0,0,69.6,FALSE,0,0,14.2
2024-01-02 16:00:00,15.4,73.7,9.66,0,0,0,0,67,FALSE,0,0,14.2
2024-01-02 17:00:00,14.6,75.5,9.45,0,0,0,0,71.6,FALSE,0,0,15.4
2024-01-02 18:00:00,15.3,73.3,9.54,0,0,0,0,69.3,FALSE,0,0,12
2024-01-02 19:00:00,15.2,75.7,9.79,0,28.5,45.6,0,73.1,TRUE,74.1,0.074,12.6
2024-01-02 20:00:00,16,73.5,9.99,1607.4,42.8,70.1,0,66.1,TRUE,1720.3,1.72,12.7
2024-01-02 21:00:00,14.7,73.9,9.3,0,42.5,46.5,0,70,TRUE,89,0.089,15.2
2024-01-02 22:00:00,14.7,75.3,9.48,0,54.3,35.4,0,70.7,TRUE,89.7,0.09,16
2024-01-02 23:00:00,16,72.7,9.89,0,0,0,0,71.3,FALSE,0,0,13
2024-01-03 00:00:00,14.6,72.8,9.08,0,0,0,0,68.3,FALSE,0,0,12.2
2024-01-03 01:00:00,14.8,76,9.6,0,0,0,0,71.1,FALSE,0,0,15.9
2024-01-03 02:00:00,14.8,72.7,9.2,0,0,0,0,71.1,FALSE,0,0,13.7
2024-01-03 03:00:00,15.3,73.8,9.63,0,0,0,0,69,FALSE,0,0,10.1
2024-01-03 04:00:00,15,73.7,9.45,0,0,0,0,67.7,FALSE,0,0,11.4
2024-01-03 05:00:00,15.1,73.2,9.43,1560,0,66.3,0,67.4,FALSE,1626.3,1.626,17.3
2024-01-03 06:00:00,15.4,72.9,9.6,0,30.5,34.7,0,72.5,TRUE,65.2,0.065,12.3
2024-01-03 07:00:00,15.9,72.7,9.82,0,45.7,48.5,0,61.8,TRUE,94.2,0.094,15.3
2024-01-03 08:00:00,14.6,72.7,9.09,0,0,49.6,0,72.5,TRUE,728.5,0.729,16
2024-01-03 09:00:00,15.9,72.4,9.78,1503.6,0,34,0,59.5,TRUE,1984.1,1.984,17.8
2024-01-03 10:00:00,14.9,74.6,9.51,0,0,0,0,72.4,FALSE,633.1,0.633,13.2
2024-01-03 11:00:00,14.9,72.9,9.27,0,0,0,0,71.4,FALSE,0,0,14.1
2024-01-03 12:00:00,14.7,73.6,9.25,0,0,0,0,65.8,FALSE,0,0,13
2024-01-03 13:00:00,15.2,75.2,9.73,0,0,0,0,69.8,FALSE,0,0,15.3
2024-01-03 14:00:00,15,74.6,9.55,0,0,0,0,69.2,FALSE,0,0,15.9
2024-01-03 15:00:00,15.2,73,9.48,0,0,0,0,69.7,FALSE,0,0,12.7
2024-01-03 16:00:00,15,74.6,9.58,0,0,0,0,68.9,FALSE,0,0,11.9
2024-01-03 17:00:00,15.7,75.6,10.12,0,0,0,0,64.2,FALSE,0,0,14.7
2024-01-03 18:00:00,15.1,72.1,9.3,0,0,0,0,66.7,FALSE,0,0,18.1
2024-01-03 19:00:00,15.4,75.9,9.99,0,48.8,52.5,236.1,62.9,TRUE,337.4,0.337,14
2024-01-03 20:00:00,15,72.1,9.27,1345.7,22.5,76.3,110.7,69.2,TRUE,1555.2,1.555,15
2024-01-03 21:00:00,14.9,74.8,9.51,1467.6,59.9,64.6,0,67.5,TRUE,1592.1,1.592,13.3
2024-01-03 22:00:00,15.2,73.7,9.58,1702.4,60,66.3,0,69,TRUE,1828.7,1.829,15.7
2024-01-03 23:00:00,15.5,73.2,9.65,0,0,0,0,72.7,FALSE,0,0,11.6
2024-01-04 00:00:00,15.3,72.2,9.45,0,0,0,0,67.2,FALSE,0,0,14.5
2024-01-04 01:00:00,15.3,72.5,9.47,0,0,0,0,67.6,FALSE,0,0,13.3
2024-01-04 02:00:00,14.7,74.1,9.31,0,0,0,0,68.6,FALSE,0,0,13.7
2024-01-04 03:00:00,15.7,74.3,9.93,0,0,0,0,78.2,FALSE,0,0,15
2024-01-04 04:00:00,15.8,74.7,10.05,0,0,0,0,70.3,FALSE,0,0,13.3
2024-01-04 05:00:00,15.3,74.7,9.73,907.2,0,37.5,0,67.6,FALSE,944.7,0.945,15.8
2024-01-04 06:00:00,15,74,9.51,1046.2,39.3,71.7,0,62,TRUE,1157.2,1.157,14.7
2024-01-04 07:00:00,15.8,74.1,9.95,0,39.6,56.5,0,74.1,TRUE,96.1,0.096,15.9
2024-01-04 08:00:00,14.6,75.5,9.44,1189.9,0,31.9,247.3,64.2,TRUE,1469.1,1.469,15.3
2024-01-04 09:00:00,15.6,72.4,9.61,1443.1,0,61.6,0,60.5,TRUE,1504.7,1.505,12.8
2024-01-04 10:00:00,14.8,72.1,9.15,0,0,0,0,63.2,FALSE,0,0,14
2024-01-04 11:00:00,15.2,72.2,9.35,0,0,0,0,65.2,FALSE,0,0,12
2024-01-04 12:00:00,15,72.5,9.27,0,0,0,0,64.7,FALSE,0,0,13.9
2024-01-04 13:00:00,16,73.3,9.96,0,0,0,0,74.9,FALSE,0,0,13.1
2024-01-04 14:00:00,15.3,73.7,9.63,0,0,0,0,70.8,FALSE,0,0,15.3
2024-01-04 15:00:00,15.6,75.5,10.06,0,0,0,0,69.3,FALSE,0,0,16.4
2024-01-04 16:00:00,15.3,73.7,9.65,0,0,0,0,65.9,FALSE,0,0,15.1
2024-01-04 17:00:00,16,72.2,9.82,0,0,0,0,68.9,FALSE,0,0,10.5
2024-01-04 18:00:00,15.8,74,9.98,0,0,0,0,70.4,FALSE,0,0,13.4
2024-01-04 19:00:00,15,72.7,9.3,0,39.5,0,0,74.1,TRUE,39.5,0.039,11.7
2024-01-04 20:00:00,15.5,75.3,9.95,1209.4,38.3,75,0,70.2,TRUE,1322.7,1.323,13.5
2024-01-04 21:00:00,15.6,75.8,10.1,0,48.9,0,0,65.8,TRUE,48.9,0.049,13.4
2024-01-04 22:00:00,15,73.1,9.36,0,50.5,75.1,0,69.8,TRUE,125.6,0.126,14.4
2024-01-04 23:00:00,15.5,72.6,9.59,0,0,0,0,71.8,FALSE,0,0,14.4
2024-01-05 00:00:00,15.9,75.1,10.19,0,0,0,0,71.7,FALSE,0,0,14.8
2024-01-05 01:00:00,14.6,72.3,9.06,0,0,0,0,71.7,FALSE,0,0,15.5
2024-01-05 02:00:00,14.7,73.4,9.21,0,0,0,0,68.7,FALSE,0,0,14.6
2024-01-05 03:00:00,14.5,74.9,9.33,0,0,0,0,66.6,FALSE,0,0,17.8
2024-01-05 04:00:00,15.4,74,9.75,0,0,0,0,65.2,FALSE,0,0,13.4
2024-01-05 05:00:00,14.6,73.7,9.22,1687.4,0,48.8,0,73.4,FALSE,1736.2,1.736,13.9
2024-01-05 06:00:00,15.8,72.4,9.71,0,33.6,33.1,114.2,68.3,TRUE,180.9,0.181,15.1
2024-01-05 07:00:00,14.7,75.2,9.45,0,41.9,37.1,0,67.1,TRUE,79,0.079,12.9
2024-01-05 08:00:00,15.1,75.8,9.77,0,0,42,0,71.4,TRUE,42,0.042,14.2
2024-01-05 09:00:00,14.6,73.8,9.21,0,0,55.4,0,72.2,TRUE,55.4,0.055,11.5
2024-01-05 10:00:00,15.4,74.4,9.76,0,0,0,0,72.6,FALSE,0,0,11.9
2024-01-05 11:00:00,14.6,73.2,9.14,0,0,0,0,63.3,FALSE,0,0,13.8
2024-01-05 12:00:00,14.7,74.3,9.33,0,0,0,0,60.4,FALSE,0,0,12.8
2024-01-05 13:00:00,15.4,75.1,9.87,0,0,0,0,67,FALSE,0,0,12.2
2024-01-05 14:00:00,14.5,73.3,9.12,0,0,0,0,67.9,FALSE,0,0,13.6
2024-01-05 15:00:00,15.3,73.9,9.64,0,0,0,0,80.1,FALSE,0,0,15.2
2024-01-05 16:00:00,14.8,73.5,9.3,0,0,0,0,71.8,FALSE,0,0,15.1
2024-01-05 17:00:00,15.4,72.8,9.58,0,0,0,0,65.9,FALSE,0,0,14.3
2024-01-05 18:00:00,14.9,75.2,9.58,0,0,0,0,62,FALSE,0,0,15
2024-01-05 19:00:00,15.8,74.6,10.03,0,42.5,38.4,0,65.2,TRUE,80.9,0.081,15.6
2024-01-05 20:00:00,14.8,75.8,9.58,1270.6,42.5,53.7,0,59,TRUE,1366.8,1.367,12.9
2024-01-05 21:00:00,15.6,73.7,9.78,0,42.2,39.3,0,70.4,TRUE,81.5,0.081,13.8
2024-01-05 22:00:00,15.9,75.2,10.18,1387.9,35.3,32.1,0,58.7,TRUE,1455.3,1.455,16
2024-01-05 23:00:00,15.7,72.6,9.7,0,0,0,0,62.9,FALSE,0,0,13.1
2024-01-06 00:00:00,15.6,73,9.67,0,0,0,0,62.8,FALSE,0,0,11.8
2024-01-06 01:00:00,15.9,73,9.85,0,0,0,0,67.5,FALSE,0,0,14.8
2024-01-06 02:00:00,15.3,72.4,9.42,0,0,0,0,65.4,FALSE,0,0,13.3
2024-01-06 03:00:00,14.7,72.6,9.15,0,0,0,0,62.9,FALSE,0,0,11.8
2024-01-06 04:00:00,14.7,73.6,9.23,0,0,0,0,63.2,FALSE,0,0,14.7
2024-01-06 05:00:00,14.5,73.2,9.13,1490.4,0,68,0,72.4,FALSE,1558.4,1.558,16.2
2024-01-06 06:00:00,15.9,75.8,10.27,0,47,65.1,0,65.7,TRUE,112.1,0.112,14.5
2024-01-06 07:00:00,14.6,73.7,9.19,1421.6,53.2,74.7,0,66.8,TRUE,1549.5,1.549,14.7
2024-01-06 08:00:00,15.2,73.6,9.55,951.6,0,32.3,0,63.9,TRUE,983.9,0.984,16
2024-01-06 09:00:00,15,73.8,9.47,0,0,0,0,62.5,TRUE,0,0,14.5
2024-01-06 10:00:00,15.8,74.6,10.04,0,0,0,0,70.3,TRUE,0,0,13.4
2024-01-06 11:00:00,15.3,75.1,9.79,0,29.4,0,0,68.2,TRUE,29.4,0.029,16.2
2024-01-06 12:00:00,15.8,72.8,9.81,0,0,0,0,60.9,TRUE,0,0,13.4
2024-01-06 13:00:00,15.9,73.6,9.94,0,0,0,0,70.5,TRUE,0,0,14.3
2024-01-06 14:00:00,14.7,75.5,9.5,0,0,0,0,75.5,TRUE,0,0,15.5
2024-01-06 15:00:00,15.7,75.2,10.07,0,0,0,0,70.8,TRUE,0,0,15.2
2024-01-06 16:00:00,15.2,73.5,9.53,0,0,0,0,68,TRUE,0,0,15
