Datetime,LivingRoom_Energy_kWh,Bathroom1_Energy_kWh,Bathroom2_Energy_kWh,Bedroom1_Energy_kWh,Bedroom2_Energy_kWh,Kitchen_Energy_kWh,Total_Energy_kWh
2024-01-01 00:00:00,0,0,0,0,0.027,0.18,0.207
2024-01-01 01:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 04:00:00,0,0.132,0,0.028,0.022,0.18,0.362
2024-01-01 05:00:00,0,1.835,1.617,0.055,0.04,0.18,3.727
2024-01-01 06:00:00,1.313,1.602,1.885,0.048,0.042,1.344,6.234
2024-01-01 07:00:00,1.213,0.035,1.334,0.055,0.054,4.342,7.033
2024-01-01 08:00:00,1.099,0.192,0.292,0.056,0.053,2.819,4.511
2024-01-01 09:00:00,1.394,1.134,1.123,0.049,0.041,2.883,6.624
2024-01-01 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 12:00:00,0,0,0,0,0,1.337,1.337
2024-01-01 13:00:00,0,0,0,0,0,2.525,2.525
2024-01-01 14:00:00,0,0,0,0,0,3.046,3.046
2024-01-01 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-01 17:00:00,0,0,0,0,0,0.834,0.834
2024-01-01 18:00:00,1.354,0.104,0,0,0,2.567,4.025
2024-01-01 19:00:00,1.543,0.09,0.217,0.322,0.253,3.821,6.246
2024-01-01 20:00:00,1.334,1.485,1.64,0.283,0.177,2.632,7.551
2024-01-01 21:00:00,1.538,0.098,0.101,0.277,0.24,1.77,4.024
2024-01-01 22:00:00,1.197,0.116,1.172,0.295,0.226,0.18,3.186
2024-01-01 23:00:00,0,0,0,0.278,0.191,0.18,0.649
2024-01-02 00:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 01:00:00,0,0,0,0.025,0.036,0.18,0.241
2024-01-02 02:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 03:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 04:00:00,0,0.116,0,0.022,0.023,0.18,0.341
2024-01-02 05:00:00,0,1.189,0.983,0.041,0.059,0.18,2.452
2024-01-02 06:00:00,1.133,1.387,0.081,0.045,0.05,1.459,4.155
2024-01-02 07:00:00,1.008,0.257,0.08,0.057,0.048,3.175,4.625
2024-01-02 08:00:00,1.054,0,0,0.042,0.035,2.879,4.01
2024-01-02 09:00:00,1.375,0.057,0,0.057,0.041,2.881,4.411
2024-01-02 10:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 11:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 12:00:00,0,0,0,0,0,1.434,1.434
2024-01-02 13:00:00,0,0,0,0,0,2.773,2.773
2024-01-02 14:00:00,0,0,0,0,0,2.935,2.935
2024-01-02 15:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 16:00:00,0,0,0,0,0,0.18,0.18
2024-01-02 17:00:00,0,0,0,0,0,0.885,0.885
2024-01-02 18:00:00,1.421,0.064,0,0,0,2.556,4.041
2024-01-02 19:00:00,1.231,0.065,0.074,0.312,0.281,2.678,4.641
2024-01-02 20:00:00,1.383,1.139,1.72,0.223,0.225,2.71,7.4
2024-01-02 21:00:00,1.561,0.101,0.089,0.204,0.332,1.431,3.718
2024-01-02 22:00:00,1.379,0.077,0.09,0.312,0.263,0.18,2.301
2024-01-02 23:00:00,0,0,0,0.218,0.16,0.18,0.558
