Timestamp,Outdoor Temperature (°C),Outdoor Humidity (%),Bedroom_Temperature (°C),Indoor Humidity (%),Bedroom Absolute Humidity,Fan_1_Power (W),Fan_2_Power (W),LED_Tube_Lights_Power (W),,AC_Power (W),Bedroom_Total_Power (W),Bedroom Energy (kWh),Bedroom_In_Use,Ports_Power (W),Small_Lights_Power (W),Room_Heater_Power (W),Weekday
2024-01-01 00:00:00,15,60.7,15.9,59.6,8.07,0,0,27.2,,0,27.2,0.027,TRUE,0,0,0,Monday
2024-01-01 01:00:00,15.6,66,16.9,64.5,9.29,0,0,0,,0,0,0,TRUE,0,0,0,Monday
2024-01-01 02:00:00,16.3,67.8,17.5,64.1,9.56,0,0,0,,0,0,0,TRUE,0,0,0,Monday
2024-01-01 03:00:00,11.7,65.4,12.2,70.6,7.63,0,0,0,,0,0,0,TRUE,0,0,0,Monday
2024-01-01 04:00:00,14.3,71.6,15.1,75.3,9.69,0,0,21.6,,0,21.6,0.022,TRUE,0,0,0,Monday
2024-01-01 05:00:00,18,70,18.7,68.1,10.88,0,0,40,,0,40,0.04,TRUE,0,0,0,Monday
2024-01-01 06:00:00,15.1,63.7,15.8,70.6,9.52,0,0,42.2,,0,42.2,0.042,TRUE,1.080574548,61.11174664,0,Monday
2024-01-01 07:00:00,13.4,71.8,14.6,68.7,8.57,0,0,53.8,,0,53.8,0.054,TRUE,0,7.23161294,0,Monday
2024-01-01 08:00:00,14.9,58.2,16.1,57.1,7.85,0,0,53.4,,0,53.4,0.053,TRUE,1.607050465,31.02361226,0,Monday
2024-01-01 09:00:00,12.6,65.8,13.4,72.8,8.47,0,0,40.7,,0,40.7,0.041,TRUE,0,15.96502119,0,Monday
2024-01-01 10:00:00,17.5,70.4,18,77.1,11.81,0,0,0,,0,0,0,FALSE,2.980052225,23.13304621,0,Monday
2024-01-01 11:00:00,13.4,65.3,14.6,69.6,8.7,0,0,0,,0,0,0,FALSE,2.520700167,29.1708767,0,Monday
2024-01-01 12:00:00,12.8,68.3,14,75.3,9.11,0,0,0,,0,0,0,FALSE,0,0,1234.664032,Monday
2024-01-01 13:00:00,15.7,69,17.2,67.9,9.92,0,0,0,,0,0,0,FALSE,0,31.72516409,1340.249883,Monday
2024-01-01 14:00:00,13.3,76.8,14,81.3,9.8,0,0,0,,0,0,0,FALSE,1.470115376,27.87198382,1174.941807,Monday
2024-01-01 15:00:00,10.1,65.2,11.2,72.2,7.3,0,0,0,,0,0,0,FALSE,0,49.8400482,1333.639541,Monday
2024-01-01 16:00:00,14.4,67.3,15.5,64.8,8.57,0,0,0,,0,0,0,FALSE,0.580852249,6.7126272,0,Monday
2024-01-01 17:00:00,10.8,68,12.1,73.5,7.86,0,0,0,,0,0,0,FALSE,1.485637492,4.643672175,0,Monday
2024-01-01 18:00:00,14.2,69.7,15.1,72.8,9.4,0,0,0,,0,0,0,FALSE,0,24.33689463,0,Monday
2024-01-01 19:00:00,11.7,72.7,12.8,79.8,8.91,0,0,40,,0,253.4,0.253,TRUE,0,19.71620186,0,Monday
2024-01-01 20:00:00,12.7,72.9,13.5,70.7,8.28,0,0,23,,0,177,0.177,TRUE,0,14.34609757,0,Monday
2024-01-01 21:00:00,11.7,66.6,13.2,72.6,8.33,0,0,22.7,,0,239.9,0.24,TRUE,0,50.40470117,1423.806182,Monday
2024-01-01 22:00:00,13.6,64.2,14.2,61.7,7.55,0,0,43.5,,0,225.5,0.226,TRUE,0,0,1002.078745,Monday
2024-01-01 23:00:00,15.1,68.9,16.1,73.3,10.04,0,0,0,,0,190.9,0.191,TRUE,0,0,1447.904528,Monday
2024-01-02 00:00:00,13,69,13.9,66.1,7.94,0,0,0,,0,0,0,TRUE,0,0,0,Tuesday
2024-01-02 01:00:00,14.6,66.6,16.1,73.7,10.08,0,0,35.9,,0,35.9,0.036,TRUE,0,0,0,Tuesday
2024-01-02 02:00:00,14.5,73,16,70.7,9.61,0,0,0,,0,0,0,TRUE,0,0,0,Tuesday
2024-01-02 03:00:00,14.2,65.1,14.8,62.8,7.96,0,0,0,,0,0,0,TRUE,1.908633047,0,0,Tuesday
2024-01-02 04:00:00,13.5,63.2,14.7,69.5,8.76,0,0,23.4,,0,23.4,0.023,TRUE,0,0,0,Tuesday
2024-01-02 05:00:00,14.2,68.3,15,74.2,9.54,0,0,59.4,,0,59.4,0.059,TRUE,0,0,0,Tuesday
2024-01-02 06:00:00,12.9,71.5,14,77.6,9.35,0,0,50,,0,50,0.05,TRUE,0,0,0,Tuesday
2024-01-02 07:00:00,13.7,61.5,14.4,57.6,7.1,0,0,47.9,,0,47.9,0.048,TRUE,0,4.946411409,0,Tuesday
2024-01-02 08:00:00,14.7,70.3,15.6,77.6,10.34,0,0,35.4,,0,35.4,0.035,TRUE,0,9.422169823,0,Tuesday
2024-01-02 09:00:00,15.5,71.8,17,68.1,9.82,0,0,40.5,,0,40.5,0.041,TRUE,0,14.25097934,0,Tuesday
2024-01-02 10:00:00,14.4,69.2,15.6,66.5,8.86,0,0,0,,0,0,0,FALSE,0,35.94231296,0,Tuesday
2024-01-02 11:00:00,9.5,68.7,10.3,75.8,7.25,0,0,0,,0,0,0,FALSE,0,7.77873629,0,Tuesday
2024-01-02 12:00:00,13.6,65.5,14.2,72.6,8.87,0,0,0,,0,0,0,FALSE,0,0,1483.888573,Tuesday
2024-01-02 13:00:00,12.5,67.5,13.3,75.4,8.72,0,0,0,,0,0,0,FALSE,0.509717023,62.01548111,1072.060578,Tuesday
