date,Kitchen_Temperature (°C),Microwave_Power (W),Exhaust_Fan_Power (W),Fridge_Power (W),Juicer_Blender_Power (W),Kitchen_Total_Power (W),Outdoor_Temperature (°C),Outdoor_Humidity (%),Microwave_In_Use,Exhaust_Fan_In_Use,Fridge_In_Use,Juicer_Blender_In_Use,Kitchen_In_Use,hour,Gas_Stove_Power (W),Induction_Stove_Power (W),Gas_Stove_In_Use,Induction_Stove_In_Use,Outdoor Temperature (°C),Outdoor Humidity (%),Kitchen_Humidity (%),Kitchen Absolute Humidity,Kitchen_Energy (kWh)
2024-01-01 00:00:00,16.2,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,15,60.7,58.9,8.13,0.18
2024-01-01 01:00:00,16.9,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,15.6,66,69.9,10.06,0.18
2024-01-01 02:00:00,17.4,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,16.3,67.8,68.3,10.12,0.18
2024-01-01 03:00:00,14.7,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,11.7,65.4,65.3,8.21,0.18
2024-01-01 04:00:00,16.5,0,0,180,0,180,20,50,0,0,1,0,0,4,0,0,0,0,14.3,71.6,76.4,10.69,0.18
2024-01-01 05:00:00,20,0,0,180,0,180,20,50,0,0,1,0,0,5,0,0,0,0,18,70,74.6,12.86,0.18
2024-01-01 06:00:00,16.4,0,96.3,180,0,1344.4,20,50,0,1,1,0,1,6,1068.1,0,1,0,15.1,63.7,66.9,9.32,1.344
2024-01-01 07:00:00,15.7,1016.043932,69.5,180,580.9,4342,20,50,1,1,1,1,1,7,1089.2,1406.4,1,1,13.4,71.8,72.1,9.62,4.342
2024-01-01 08:00:00,16.1,0,96.1,180,0,2818.8,20,50,0,1,1,0,1,8,1252.8,1289.9,1,1,14.9,58.2,56.7,7.76,2.819
2024-01-01 09:00:00,15.2,0,56.8,180,0,2882.9,20,50,0,1,1,0,1,9,1248.4,1397.7,1,1,12.6,65.8,65.7,8.5,2.883
2024-01-01 10:00:00,18.8,0,0,180,0,180,20,50,0,0,1,0,0,10,0,0,0,0,17.5,70.4,72.7,11.71,0.18
2024-01-01 11:00:00,15,0,0,180,0,180,20,50,0,0,1,0,0,11,0,0,0,0,13.4,65.3,67.9,8.7,0.18
2024-01-01 12:00:00,14.4,0,98.8,180,0,1337,20,50,0,1,1,0,0,12,1058.2,0,1,0,12.8,68.3,66.7,8.25,1.337
2024-01-01 13:00:00,17.6,0,91.8,180,0,2525.2,20,50,0,1,1,0,0,13,1031.2,1222.2,1,1,15.7,69,69.4,10.39,2.525
2024-01-01 14:00:00,15.9,0,74.5,180,0,3046.2,20,50,0,1,1,0,0,14,1217.4,1574.3,1,1,13.3,76.8,75,10.13,3.046
2024-01-01 15:00:00,11.4,0,0,180,0,180,20,50,0,0,1,0,0,15,0,0,0,0,10.1,65.2,67.4,6.91,0.18
2024-01-01 16:00:00,16.7,0,0,180,0,180,20,50,0,0,1,0,0,16,0,0,0,0,14.4,67.3,65.9,9.35,0.18
2024-01-01 17:00:00,11.8,0,83.7,180,569.8,833.5,20,50,0,1,1,1,0,17,0,0,0,0,10.8,68,68.5,7.21,0.834
2024-01-01 18:00:00,15.6,0,98.1,180,0,2567.1,20,50,0,1,1,0,0,18,1024.1,1264.9,1,1,14.2,69.7,74.2,9.85,2.567
2024-01-01 19:00:00,13.5,1101.939518,74.5,180,0,3820.9,20,50,1,1,1,0,1,19,1231.1,1233.4,1,1,11.7,72.7,74.4,8.72,3.821
2024-01-01 20:00:00,15.6,0,91.8,180,0,2632.2,20,50,0,1,1,0,1,20,968.8,1391.6,1,1,12.7,72.9,72.8,9.67,2.632
2024-01-01 21:00:00,13.8,0,46.8,180,0,1770.1,20,50,0,1,1,0,1,21,0,1543.3,0,1,11.7,66.6,67.4,8.02,1.77
2024-01-01 22:00:00,15.5,0,0,180,0,180,20,50,0,0,1,0,1,22,0,0,0,0,13.6,64.2,63.7,8.44,0.18
2024-01-01 23:00:00,17.9,0,0,180,0,180,20,50,0,0,1,0,0,23,0,0,0,0,15.1,68.9,70.9,10.84,0.18
2024-01-02 00:00:00,14.6,0,0,180,0,180,20,50,0,0,1,0,0,0,0,0,0,0,13,69,66.9,8.36,0.18
2024-01-02 01:00:00,15.6,0,0,180,0,180,20,50,0,0,1,0,0,1,0,0,0,0,14.6,66.6,64.2,8.55,0.18
2024-01-02 02:00:00,15.9,0,0,180,0,180,20,50,0,0,1,0,0,2,0,0,0,0,14.5,73,71.7,9.72,0.18
2024-01-02 03:00:00,16.3,0,0,180,0,180,20,50,0,0,1,0,0,3,0,0,0,0,14.2,65.1,67.5,9.39,0.18
