Timestamp,Outdoor Temperature (°C),Rainfall (mm),Outdoor AQI,Indoor AQI,Motion Detected,Sound Detected,Lighting Intensity (lux),Smart TV On,Fan (kWh),AC (kWh),Lights (kWh),TV (kWh),Ports (kWh),Energy Consumption (kWh),Energy Cost (?),Room,Hour,Month,Heater (kWh),Indoor Temperature (°C),Is Weekend,Window Open,Outdoor Humidity (%),Indoor Humidity (%),Weather Tag,Occupancy Level,Airflow Index,Occupied,AC (W),Heater (W),Fan (W),Lights (W),TV (W),Ports (W),Total Power (W)
2024-01-01 00:00:00,15,0,284.5,105.5,0,0,19.9,0,0,0,0,0,0,0,0,Living Room,0,1,0,15.5,0,0,60.7,59,,Low,0.6,0,0,0,0,0,0,0,0
2024-01-01 01:00:00,15.6,0,282.2,95.1,0,0,5.9,0,0,0,0,0,0,0,0,Living Room,1,1,0,15.6,0,0,66,65.2,,Low,2.83,0,0,0,0,0,0,0,0
2024-01-01 02:00:00,16.3,0,252,88.4,0,0,37.9,0,0,0,0,0,0,0,0,Living Room,2,1,0,17.2,0,0,67.8,70.5,,Low,1.15,0,0,0,0,0,0,0,0
2024-01-01 03:00:00,11.7,0,287,97.9,0,0,7.5,0,0,0,0,0,0,0,0,Living Room,3,1,0,11.9,0,0,65.4,68.6,,Low,1.05,0,0,0,0,0,0,0,0
2024-01-01 04:00:00,14.3,0,281.9,90.5,0,0,27.8,0,0,0,0,0,0,0,0,Living Room,4,1,0,15,0,0,71.6,71.4,,Low,2.22,0,0,0,0,0,0,0,0
2024-01-01 05:00:00,18,0,229.4,65.9,0,0,45.1,0,0,0,0,0,0,0,0,Living Room,5,1,0,17.4,0,0,70,74.4,,Low,1.28,0,0,0,0,0,0,0,0
2024-01-01 06:00:00,15.1,0,258.1,82.8,0,0,920,0,0,0,0,0,0.002,1.313,9.84,Living Room,6,1,1.311,18.9,0,0,63.7,62.4,,High,9.37,1,0,1311,0,0,0,1.6,1312.6
2024-01-01 07:00:00,13.4,0,258.1,91.9,1,0,422,0,0,0,0,0,0.003,1.213,9.1,Living Room,7,1,1.21,18,0,0,71.8,71.1,,High,8.09,1,0,1210.1,0,0,0,3.3,1213.4
2024-01-01 08:00:00,14.9,0,259,87.5,0,0,694.3,0,0,0,0,0,0.008,1.099,8.24,Living Room,8,1,1.091,17.1,0,0,58.2,58.9,,High,6.72,1,0,1090.5,0,0,0,8.3,1098.8
2024-01-01 09:00:00,12.6,0,270.4,77.2,0,1,164.4,0,0,0,0,0,0.008,1.394,10.45,Living Room,9,1,1.386,15.1,0,0,65.8,68.7,,High,5.87,1,0,1386.1,0,0,0,7.7,1393.7
